ST_CASE,VEH_NO,DRIVER_IMPAIRMENT
10685,2,None/Apparently Normal
10685,3,None/Apparently Normal
10685,4,None/Apparently Normal
10685,5,None/Apparently Normal
10685,6,None/Apparently Normal
10686,1,
10686,2,
10687,1,None/Apparently Normal
10688,1,
10689,1,
10690,1,None/Apparently Normal
10691,1,None/Apparently Normal
10692,1,
10693,1,None/Apparently Normal
10693,2,None/Apparently Normal
10694,1,"Under the Influence of Alcohol, Drugs or Medication"
10694,2,None/Apparently Normal
10695,1,None/Apparently Normal
10696,1,Asleep or Fatigued
10697,1,None/Apparently Normal
10698,1,None/Apparently Normal
10699,1,None/Apparently Normal
10699,2,None/Apparently Normal
10700,1,
10702,1,None/Apparently Normal
10703,1,"Under the Influence of Alcohol, Drugs or Medication"
10704,1,None/Apparently Normal
10704,2,None/Apparently Normal
10705,1,
10706,1,None/Apparently Normal
10706,2,None/Apparently Normal
10707,1,None/Apparently Normal
10707,2,"Under the Influence of Alcohol, Drugs or Medication"
10708,1,
10708,2,None/Apparently Normal
10709,1,"Under the Influence of Alcohol, Drugs or Medication"
10709,2,None/Apparently Normal
10709,3,None/Apparently Normal
10710,1,None/Apparently Normal
10711,1,None/Apparently Normal
10712,1,"Under the Influence of Alcohol, Drugs or Medication"
10713,1,
10714,1,None/Apparently Normal
10715,1,None/Apparently Normal
10715,2,
10716,1,None/Apparently Normal
10717,1,None/Apparently Normal
10717,2,None/Apparently Normal
10718,1,
10718,2,None/Apparently Normal
10719,1,None/Apparently Normal
10719,2,None/Apparently Normal
10720,1,"Under the Influence of Alcohol, Drugs or Medication"
10721,1,
10722,1,
10723,1,
10724,1,
10725,1,
10726,1,None/Apparently Normal
10726,2,None/Apparently Normal
10727,1,
10727,2,
10728,1,None/Apparently Normal
10728,2,None/Apparently Normal
10728,3,None/Apparently Normal
10729,1,None/Apparently Normal
10729,2,None/Apparently Normal
10730,1,None/Apparently Normal
10730,2,None/Apparently Normal
10731,1,None/Apparently Normal
10731,2,None/Apparently Normal
10731,3,None/Apparently Normal
10732,1,None/Apparently Normal
10733,1,
10734,1,
10734,2,None/Apparently Normal
10735,1,
10735,2,None/Apparently Normal
10736,1,
10736,2,
10737,1,None/Apparently Normal
10737,2,None/Apparently Normal
10737,3,None/Apparently Normal
10738,1,None/Apparently Normal
10739,1,"Under the Influence of Alcohol, Drugs or Medication"
10740,1,None/Apparently Normal
10741,1,
10742,1,
10743,1,
10744,1,None/Apparently Normal
10744,2,None/Apparently Normal
10744,3,None/Apparently Normal
10745,1,
10746,1,None/Apparently Normal
10746,2,None/Apparently Normal
10747,1,"Under the Influence of Alcohol, Drugs or Medication"
10748,1,
10749,1,None/Apparently Normal
10749,2,None/Apparently Normal
10750,1,
10750,2,None/Apparently Normal
10751,1,
10751,2,"Under the Influence of Alcohol, Drugs or Medication"
10752,1,
10752,2,None/Apparently Normal
10753,1,None/Apparently Normal
10754,1,None/Apparently Normal
10755,1,
10755,2,None/Apparently Normal
10756,1,"Under the Influence of Alcohol, Drugs or Medication"
10757,1,None/Apparently Normal
10757,2,None/Apparently Normal
10758,1,"Under the Influence of Alcohol, Drugs or Medication"
10759,1,None/Apparently Normal
10759,2,None/Apparently Normal
10760,1,
10760,2,None/Apparently Normal
10761,1,None/Apparently Normal
10761,2,None/Apparently Normal
10762,1,
10762,2,
10763,1,"Under the Influence of Alcohol, Drugs or Medication"
10764,1,
10765,1,
10766,1,
10766,2,
10767,1,None/Apparently Normal
10768,1,
10769,1,
10769,2,
10770,1,Asleep or Fatigued
10771,1,
10772,1,"Under the Influence of Alcohol, Drugs or Medication"
10773,1,
10773,2,None/Apparently Normal
10773,3,None/Apparently Normal
10774,1,
10774,2,None/Apparently Normal
10775,1,None/Apparently Normal
10776,1,
10777,1,None/Apparently Normal
10778,1,None/Apparently Normal
10778,2,None/Apparently Normal
10779,1,None/Apparently Normal
10780,1,"Under the Influence of Alcohol, Drugs or Medication"
10781,1,
10782,1,
10782,2,None/Apparently Normal
10783,1,"Under the Influence of Alcohol, Drugs or Medication"
10783,2,None/Apparently Normal
10784,1,None/Apparently Normal
10785,1,"Ill, Blackout"
10786,1,
10787,1,"Under the Influence of Alcohol, Drugs or Medication"
10787,2,None/Apparently Normal
10788,1,None/Apparently Normal
10788,2,None/Apparently Normal
10789,1,
10789,2,None/Apparently Normal
10790,1,None/Apparently Normal
10791,1,
10791,2,
10792,1,Asleep or Fatigued
10793,1,"Ill, Blackout"
10794,1,None/Apparently Normal
10794,2,None/Apparently Normal
10794,3,None/Apparently Normal
10795,1,None/Apparently Normal
10795,2,None/Apparently Normal
10796,1,None/Apparently Normal
10796,2,None/Apparently Normal
10797,1,
10798,1,"Under the Influence of Alcohol, Drugs or Medication"
10798,2,None/Apparently Normal
10799,1,None/Apparently Normal
10801,1,
10802,1,None/Apparently Normal
10803,1,
10804,1,
10804,2,None/Apparently Normal
10805,1,None/Apparently Normal
10805,2,
10806,1,None/Apparently Normal
10807,1,
10808,1,None/Apparently Normal
10809,1,
10810,1,None/Apparently Normal
10810,2,None/Apparently Normal
10811,1,None/Apparently Normal
10812,1,
10812,2,
10813,1,None/Apparently Normal
10814,1,"Under the Influence of Alcohol, Drugs or Medication"
10815,1,
10815,2,
10816,1,
10816,2,None/Apparently Normal
10817,1,
10818,1,
10819,1,None/Apparently Normal
10819,2,None/Apparently Normal
10819,3,None/Apparently Normal
10820,1,Asleep or Fatigued
10820,2,
10821,1,None/Apparently Normal
10822,1,None/Apparently Normal
10822,2,None/Apparently Normal
10823,1,
10824,1,"Ill, Blackout"
10824,2,None/Apparently Normal
10825,1,
10825,2,
10825,3,None/Apparently Normal
10826,1,None/Apparently Normal
10827,1,
10827,2,None/Apparently Normal
10828,1,
10829,1,
10829,2,None/Apparently Normal
10830,1,None/Apparently Normal
10831,1,
10831,2,
10831,3,None/Apparently Normal
10831,4,None/Apparently Normal
10831,5,None/Apparently Normal
10831,6,None/Apparently Normal
10832,1,
10833,1,None/Apparently Normal
10834,1,
10835,1,
10835,2,"Under the Influence of Alcohol, Drugs or Medication"
10836,1,
10837,1,"Under the Influence of Alcohol, Drugs or Medication"
10837,1,Physical Impairment - No Details
10837,2,None/Apparently Normal
10838,1,
10839,1,Asleep or Fatigued
10840,1,
10840,2,None/Apparently Normal
10841,1,Asleep or Fatigued
10841,2,None/Apparently Normal
10842,1,Physical Impairment - No Details
10843,1,Asleep or Fatigued
10844,1,Physical Impairment - No Details
10844,2,
10845,1,None/Apparently Normal
10846,1,"Under the Influence of Alcohol, Drugs or Medication"
10847,1,
10847,2,
10848,1,None/Apparently Normal
10849,1,None/Apparently Normal
10849,2,None/Apparently Normal
10850,1,
10851,1,"Under the Influence of Alcohol, Drugs or Medication"
10852,1,None/Apparently Normal
10852,2,None/Apparently Normal
10852,3,None/Apparently Normal
10853,1,None/Apparently Normal
10854,1,None/Apparently Normal
10855,1,None/Apparently Normal
10856,1,
10856,2,None/Apparently Normal
10856,3,"Under the Influence of Alcohol, Drugs or Medication"
10857,1,
10857,2,None/Apparently Normal
10858,1,None/Apparently Normal
10859,1,
10860,1,None/Apparently Normal
10861,1,"Ill, Blackout"
10861,2,None/Apparently Normal
10862,1,"Under the Influence of Alcohol, Drugs or Medication"
10863,1,
10863,2,None/Apparently Normal
10864,1,Physical Impairment - No Details
10865,1,
10866,1,
10866,2,None/Apparently Normal
10867,1,
10867,2,
10868,1,None/Apparently Normal
10868,2,None/Apparently Normal
10869,1,
10870,1,"Under the Influence of Alcohol, Drugs or Medication"
10871,1,None/Apparently Normal
10871,2,None/Apparently Normal
10872,1,None/Apparently Normal
10872,2,None/Apparently Normal
10873,1,
10873,2,None/Apparently Normal
10874,1,
10874,2,None/Apparently Normal
10875,1,
10875,2,None/Apparently Normal
10876,1,
10876,2,None/Apparently Normal
10877,1,None/Apparently Normal
10877,2,None/Apparently Normal
10878,1,"Ill, Blackout"
10879,1,
10879,2,"Under the Influence of Alcohol, Drugs or Medication"
10880,1,Asleep or Fatigued
10880,2,None/Apparently Normal
10881,1,None/Apparently Normal
10882,1,
10883,1,
10883,2,None/Apparently Normal
10884,1,
10885,1,
10886,1,"Under the Influence of Alcohol, Drugs or Medication"
10887,1,None/Apparently Normal
10887,2,None/Apparently Normal
10888,1,"Under the Influence of Alcohol, Drugs or Medication"
10888,2,None/Apparently Normal
10889,1,None/Apparently Normal
10889,2,None/Apparently Normal
10890,1,None/Apparently Normal
10891,1,None/Apparently Normal
10892,1,None/Apparently Normal
10892,2,None/Apparently Normal
10893,1,None/Apparently Normal
10893,2,None/Apparently Normal
10894,1,None/Apparently Normal
10894,2,None/Apparently Normal
10895,1,
10896,1,
10897,1,None/Apparently Normal
10898,1,
10899,1,None/Apparently Normal
10900,1,
10901,1,None/Apparently Normal
10901,2,None/Apparently Normal
10901,3,None/Apparently Normal
10902,1,None/Apparently Normal
10903,1,
10904,1,None/Apparently Normal
10905,1,None/Apparently Normal
10905,2,None/Apparently Normal
10906,1,None/Apparently Normal
10906,2,None/Apparently Normal
10907,1,"Under the Influence of Alcohol, Drugs or Medication"
10908,1,"Under the Influence of Alcohol, Drugs or Medication"
10909,1,None/Apparently Normal
10910,1,
10910,2,None/Apparently Normal
10911,1,None/Apparently Normal
10911,2,None/Apparently Normal
10911,3,None/Apparently Normal
10912,1,
10913,1,"Under the Influence of Alcohol, Drugs or Medication"
10913,2,None/Apparently Normal
10914,1,None/Apparently Normal
10914,2,None/Apparently Normal
10915,1,None/Apparently Normal
10915,2,None/Apparently Normal
10916,1,None/Apparently Normal
10916,2,
10917,1,"Under the Influence of Alcohol, Drugs or Medication"
10918,1,None/Apparently Normal
10918,2,None/Apparently Normal
10919,1,None/Apparently Normal
20001,1,None/Apparently Normal
20002,1,None/Apparently Normal
20002,2,None/Apparently Normal
20003,1,None/Apparently Normal
20003,2,None/Apparently Normal
20004,1,None/Apparently Normal
20004,2,
20005,1,None/Apparently Normal
20005,2,None/Apparently Normal
20005,3,None/Apparently Normal
20006,1,
20006,2,None/Apparently Normal
20007,1,
20007,2,None/Apparently Normal
20008,1,None/Apparently Normal
20008,2,None/Apparently Normal
20009,1,"Under the Influence of Alcohol, Drugs or Medication"
20010,1,Other Physical Impairment
20011,1,
20012,1,
20012,2,None/Apparently Normal
20013,1,Asleep or Fatigued
20013,1,"Under the Influence of Alcohol, Drugs or Medication"
20014,1,
20015,1,None/Apparently Normal
20015,2,"Under the Influence of Alcohol, Drugs or Medication"
20015,3,None/Apparently Normal
20016,1,"Under the Influence of Alcohol, Drugs or Medication"
20017,1,Asleep or Fatigued
20017,2,
20018,1,"Ill, Blackout"
20019,1,
20019,2,
20019,3,
20019,4,None/Apparently Normal
20019,5,None/Apparently Normal
20020,1,None/Apparently Normal
20020,2,None/Apparently Normal
20021,1,
20022,1,"Under the Influence of Alcohol, Drugs or Medication"
20023,1,"Ill, Blackout"
20023,2,None/Apparently Normal
20024,1,
20025,1,None/Apparently Normal
20025,2,None/Apparently Normal
20026,1,None/Apparently Normal
20026,2,None/Apparently Normal
20027,1,"Under the Influence of Alcohol, Drugs or Medication"
20028,1,"Ill, Blackout"
20028,1,Asleep or Fatigued
20029,1,None/Apparently Normal
20029,2,None/Apparently Normal
20030,1,
20030,2,None/Apparently Normal
20031,1,
20032,1,
20032,2,None/Apparently Normal
20033,1,None/Apparently Normal
20034,1,None/Apparently Normal
20034,2,None/Apparently Normal
20034,3,None/Apparently Normal
20035,1,
20036,1,
20036,2,
20037,1,"Ill, Blackout"
20038,1,
20039,1,"Under the Influence of Alcohol, Drugs or Medication"
20040,1,
20040,2,None/Apparently Normal
20041,1,None/Apparently Normal
20042,1,"Under the Influence of Alcohol, Drugs or Medication"
20042,2,None/Apparently Normal
20043,1,
20043,2,"Under the Influence of Alcohol, Drugs or Medication"
20043,3,None/Apparently Normal
20044,1,Asleep or Fatigued
20045,1,"Under the Influence of Alcohol, Drugs or Medication"
20046,1,"Under the Influence of Alcohol, Drugs or Medication"
20047,1,
20047,2,None/Apparently Normal
20048,1,None/Apparently Normal
20048,2,None/Apparently Normal
20049,1,
20049,2,None/Apparently Normal
20052,1,None/Apparently Normal
20053,1,"Under the Influence of Alcohol, Drugs or Medication"
20054,1,"Under the Influence of Alcohol, Drugs or Medication"
20055,1,"Under the Influence of Alcohol, Drugs or Medication"
20056,1,None/Apparently Normal
20057,1,
20057,2,None/Apparently Normal
20058,1,None/Apparently Normal
20059,1,"Under the Influence of Alcohol, Drugs or Medication"
20060,1,None/Apparently Normal
20061,1,None/Apparently Normal
20061,2,None/Apparently Normal
20062,1,None/Apparently Normal
20063,1,None/Apparently Normal
20063,2,
20064,1,
20065,1,
20065,2,
20066,1,None/Apparently Normal
20066,2,None/Apparently Normal
20067,1,None/Apparently Normal
20067,2,None/Apparently Normal
20068,1,
20068,2,None/Apparently Normal
20069,1,
20069,2,
20070,1,
20070,2,
20071,1,"Under the Influence of Alcohol, Drugs or Medication"
20072,1,None/Apparently Normal
20072,2,None/Apparently Normal
20073,1,
20073,2,None/Apparently Normal
20074,1,None/Apparently Normal
20075,1,None/Apparently Normal
20075,2,
20076,1,
20077,1,None/Apparently Normal
40001,1,"Under the Influence of Alcohol, Drugs or Medication"
40001,2,None/Apparently Normal
40001,3,None/Apparently Normal
40002,1,"Under the Influence of Alcohol, Drugs or Medication"
40003,1,None/Apparently Normal
40003,2,None/Apparently Normal
40004,1,"Under the Influence of Alcohol, Drugs or Medication"
40004,2,"Under the Influence of Alcohol, Drugs or Medication"
40005,1,
40005,2,None/Apparently Normal
40005,3,
40006,1,"Under the Influence of Alcohol, Drugs or Medication"
40006,2,None/Apparently Normal
40008,1,None/Apparently Normal
40008,2,None/Apparently Normal
40009,1,
40010,1,None/Apparently Normal
40010,2,
40010,3,None/Apparently Normal
40011,1,Asleep or Fatigued
40011,2,None/Apparently Normal
40012,1,
40013,1,None/Apparently Normal
40015,1,
40015,2,None/Apparently Normal
40015,3,None/Apparently Normal
40016,1,"Under the Influence of Alcohol, Drugs or Medication"
40017,1,
40017,2,None/Apparently Normal
40018,1,None/Apparently Normal
40019,1,
40019,2,
40020,1,
40020,2,None/Apparently Normal
40021,1,"Under the Influence of Alcohol, Drugs or Medication"
40022,1,
40022,2,None/Apparently Normal
40023,1,None/Apparently Normal
40024,1,None/Apparently Normal
40024,2,None/Apparently Normal
40025,1,
40026,1,
40027,1,
40027,2,None/Apparently Normal
40028,1,None/Apparently Normal
40028,2,None/Apparently Normal
40028,3,None/Apparently Normal
40029,1,None/Apparently Normal
40029,2,None/Apparently Normal
40030,1,"Under the Influence of Alcohol, Drugs or Medication"
40031,1,"Under the Influence of Alcohol, Drugs or Medication"
40032,1,"Under the Influence of Alcohol, Drugs or Medication"
40032,2,"Under the Influence of Alcohol, Drugs or Medication"
40032,3,None/Apparently Normal
40032,4,None/Apparently Normal
40032,5,None/Apparently Normal
40032,6,None/Apparently Normal
40033,1,None/Apparently Normal
40033,2,None/Apparently Normal
40034,1,"Under the Influence of Alcohol, Drugs or Medication"
40035,1,None/Apparently Normal
40036,1,None/Apparently Normal
40037,1,"Under the Influence of Alcohol, Drugs or Medication"
40038,1,None/Apparently Normal
40038,2,None/Apparently Normal
40039,1,None/Apparently Normal
40040,1,None/Apparently Normal
40041,1,None/Apparently Normal
40042,1,
40043,1,None/Apparently Normal
40044,1,
40045,1,
40045,2,None/Apparently Normal
40046,1,"Under the Influence of Alcohol, Drugs or Medication"
40046,2,None/Apparently Normal
40047,1,None/Apparently Normal
40048,1,None/Apparently Normal
40048,2,None/Apparently Normal
40049,1,"Under the Influence of Alcohol, Drugs or Medication"
40049,2,None/Apparently Normal
40050,1,
40051,1,None/Apparently Normal
40051,2,None/Apparently Normal
40052,1,None/Apparently Normal
40054,1,
40054,2,None/Apparently Normal
40055,1,None/Apparently Normal
40055,2,None/Apparently Normal
40056,1,"Under the Influence of Alcohol, Drugs or Medication"
40057,1,
40058,1,None/Apparently Normal
40060,1,None/Apparently Normal
40060,2,
40061,1,None/Apparently Normal
40061,2,None/Apparently Normal
40062,1,
40063,1,None/Apparently Normal
40064,1,
40066,1,
40067,1,
40068,1,
40069,1,"Under the Influence of Alcohol, Drugs or Medication"
40070,1,None/Apparently Normal
40070,2,None/Apparently Normal
40071,1,"Under the Influence of Alcohol, Drugs or Medication"
40071,2,None/Apparently Normal
40073,1,
40073,2,
40074,1,"Under the Influence of Alcohol, Drugs or Medication"
40074,2,None/Apparently Normal
40075,1,None/Apparently Normal
40075,2,None/Apparently Normal
40076,1,
40077,1,
40077,2,None/Apparently Normal
40078,1,None/Apparently Normal
40080,1,"Under the Influence of Alcohol, Drugs or Medication"
40080,2,None/Apparently Normal
40080,3,None/Apparently Normal
40081,1,Asleep or Fatigued
40081,1,"Under the Influence of Alcohol, Drugs or Medication"
40081,2,None/Apparently Normal
40082,1,None/Apparently Normal
40082,2,None/Apparently Normal
40083,1,None/Apparently Normal
40084,1,
40085,1,None/Apparently Normal
40086,1,None/Apparently Normal
40086,2,None/Apparently Normal
40087,1,
40088,1,None/Apparently Normal
40088,2,
40089,1,"Under the Influence of Alcohol, Drugs or Medication"
40089,2,None/Apparently Normal
40090,1,"Under the Influence of Alcohol, Drugs or Medication"
40091,1,
40092,1,
40092,2,
40093,1,None/Apparently Normal
40094,1,None/Apparently Normal
